t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-1.48592, -2.206 , -1.550 , -1.672 , 0.000  , 0.000  , -0.111 , 0.157  , 0.003  , 0.003  , 0.002  , -0.033 
0.01942 ,-1.48592, -2.228 , -2.087 , -1.428 , -0.015 , 0.044  , -0.021 , 0.026  , 0.010  , 0.009  , 0.004  , -0.028 
0.03371 ,-1.52987, -2.228 , -1.965 , -1.404 , -0.015 , 0.044  , -0.018 , 0.005  , 0.016  , 0.013  , 0.003  , -0.028 
0.04866 ,-1.52987, -2.271 , -1.624 , -1.428 , -0.015 , 0.059  , -0.031 , 0.041  , 0.020  , 0.016  , -0.000 , -0.036 
0.06376 ,-1.54635, -2.315 , -1.282 , -1.282 , -0.015 , 0.044  , -0.014 , 0.037  , 0.023  , 0.019  , 0.003  , -0.043 
0.07871 ,-1.54635, -2.343 , -0.989 , -1.086 , -0.015 , 0.044  , -0.031 , 0.033  , 0.023  , 0.020  , -0.001 , -0.043 
0.09384 ,-1.58480, -2.348 , -0.989 , -0.867 , -0.029 , 0.044  , -0.050 , -0.001 , 0.023  , 0.021  , 0.003  , -0.044 
0.11781 ,-1.64523, -2.365 , -1.209 , -0.671 , -0.015 , 0.044  , -0.057 , 0.025  , 0.023  , 0.020  , 0.002  , -0.043 
0.14099 ,-1.64523, -2.425 , -1.257 , -0.842 , -0.015 , 0.044  , -0.071 , -0.010 , 0.024  , 0.019  , -0.002 , -0.041 
0.15372 ,-1.69467, -2.497 , -1.135 , -1.111 , -0.015 , 0.044  , -0.070 , -0.041 , 0.024  , 0.020  , -0.005 , -0.052 
0.16867 ,-1.71115, -2.530 , -0.989 , -1.404 , 0.000  , 0.059  , -0.045 , -0.018 , 0.024  , 0.021  , -0.006 , -0.054 
0.18374 ,-1.73861, -2.530 , -0.916 , -1.721 , -0.015 , 0.044  , -0.039 , -0.037 , 0.023  , 0.023  , -0.003 , -0.052 
0.19879 ,-1.74960, -2.618 , -0.818 , -1.868 , -0.015 , 0.044  , -0.051 , -0.056 , 0.021  , 0.025  , -0.007 , -0.048 
0.21379 ,-1.77157, -2.640 , -0.916 , -1.770 , -0.015 , 0.044  , -0.046 , 0.033  , 0.020  , 0.027  , -0.004 , -0.049 
