t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-4.77638, -6.803 , -0.793 , -0.281 , 0.000  , 0.000  , -6.197 , -0.403 , 0.002  , 0.001  , 0.001  , 0.004  
0.01566 ,-4.77638, -6.803 , -0.696 , -0.208 , -0.820 , -2.520 , 0.017  , -1.604 , 0.004  , 0.001  , -0.037 , 0.025  
0.03002 ,-4.77638, -6.715 , -0.623 , -0.134 , -0.820 , -2.520 , 0.027  , -1.357 , 0.006  , 0.002  , -0.040 , 0.026  
0.05243 ,-4.74891, -6.694 , -0.598 , -0.085 , -0.820 , -2.520 , 0.030  , -1.040 , 0.007  , 0.002  , -0.043 , 0.022  
0.07204 ,-4.72145, -6.628 , -0.256 , -0.012 , -0.820 , -2.520 , -0.004 , -0.814 , 0.008  , 0.002  , -0.050 , 0.031  
0.09822 ,-4.68849, -6.562 , 0.378  , 0.525  , -0.806 , -2.520 , 0.016  , -0.627 , 0.006  , 0.001  , -0.044 , 0.039  
0.12851 ,-4.61707, -6.534 , 0.891  , 0.989  , -0.820 , -2.520 , -0.011 , -0.372 , 0.003  , -0.002 , -0.043 , 0.040  
0.15783 ,-4.48524, -6.496 , 1.282  , 0.916  , -0.820 , -2.520 , -0.004 , -0.210 , -0.002 , -0.006 , -0.060 , 0.039  
0.19135 ,-4.44129, -6.435 , 0.989  , 1.184  , -0.820 , -2.520 , -0.105 , -0.092 , -0.006 , -0.009 , -0.041 , 0.037  
0.20928 ,-4.44678, -6.402 , 0.647  , 1.599  , -0.806 , -2.534 , -0.096 , -0.072 , -0.009 , -0.013 , -0.054 , 0.034  
0.23026 ,-4.45777, -6.386 , 0.476  , 1.843  , -0.820 , -2.520 , -0.097 , -0.067 , -0.010 , -0.018 , -0.052 , 0.035  
0.25027 ,-4.48524, -6.386 , 0.549  , 1.917  , -0.820 , -2.534 , -0.043 , -0.063 , -0.010 , -0.022 , -0.048 , 0.031  
0.26927 ,-4.50721, -6.397 , 0.696  , 1.892  , -0.806 , -2.520 , -0.059 , 0.007  , -0.011 , -0.026 , -0.057 , 0.035  
0.28923 ,-4.52918, -6.424 , 0.745  , 1.721  , -0.820 , -2.520 , -0.092 , 0.039  , -0.012 , -0.029 , -0.062 , 0.033  
0.31049 ,-4.53468, -6.446 , 0.793  , 1.355  , -0.806 , -2.534 , -0.139 , 0.048  , -0.013 , -0.030 , -0.066 , 0.034  
0.32499 ,-4.55116, -6.446 , 0.964  , 1.013  , -0.820 , -2.520 , -0.127 , 0.074  , -0.015 , -0.029 , -0.058 , 0.038  
0.34231 ,-4.55116, -6.457 , 1.160  , 0.867  , -0.806 , -2.534 , -0.118 , 0.048  , -0.016 , -0.028 , -0.052 , 0.033  
0.35508 ,-4.56214, -6.452 , 1.355  , 0.793  , -0.820 , -2.534 , -0.118 , 0.093  , -0.018 , -0.026 , -0.043 , 0.027  
0.37009 ,-4.57862, -6.446 , 1.404  , 0.891  , -0.820 , -2.520 , -0.107 , 0.054  , -0.020 , -0.024 , -0.049 , 0.025  
0.38393 ,-4.60609, -6.430 , 1.257  , 0.989  , -0.806 , -2.520 , -0.113 , 0.055  , -0.022 , -0.023 , -0.039 , 0.029  
0.40040 ,-4.66102, -6.430 , 0.964  , 0.989  , -0.806 , -2.534 , -0.120 , 0.001  , -0.022 , -0.022 , -0.038 , 0.023  
0.41984 ,-4.66102, -6.430 , 0.500  , 0.916  , -0.820 , -2.534 , -0.181 , -0.014 , -0.021 , -0.020 , -0.046 , 0.015  
0.43473 ,-4.74891, -6.430 , 0.305  , 0.842  , -0.806 , -2.534 , -0.153 , -0.032 , -0.019 , -0.019 , -0.042 , 0.020  
0.44974 ,-4.74891, -6.424 , 0.061  , 0.769  , -0.820 , -2.520 , -0.154 , -0.026 , -0.016 , -0.018 , -0.043 , 0.016  
0.47021 ,-4.77638, -6.424 , -0.232 , 0.623  , -0.820 , -2.520 , -0.141 , 0.003  , -0.012 , -0.016 , -0.035 , 0.018  
0.48386 ,-4.79835, -6.424 , -0.452 , 0.525  , -0.806 , -2.520 , -0.155 , 0.028  , -0.008 , -0.014 , -0.037 , 0.019  
0.49999 ,-4.80385, -6.424 , -0.525 , 0.452  , -0.806 , -2.520 , -0.160 , 0.019  , -0.003 , -0.011 , -0.032 , 0.021  
0.51510 ,-4.80385, -6.430 , -0.476 , 0.378  , -0.806 , -2.534 , -0.160 , -0.002 , 0.000  , -0.009 , -0.026 , 0.023  
0.53003 ,-4.80934, -6.446 , -0.305 , 0.281  , -0.820 , -2.520 , -0.142 , -0.006 , 0.003  , -0.007 , -0.028 , 0.028  
0.54501 ,-4.83680, -6.446 , -0.232 , 0.159  , -0.820 , -2.534 , -0.117 , -0.033 , 0.005  , -0.004 , -0.037 , 0.029  
0.55990 ,-4.83680, -6.435 , -0.281 , -0.012 , -0.820 , -2.520 , -0.083 , 0.005  , 0.006  , -0.002 , -0.037 , 0.027  
0.57496 ,-4.88624, -6.441 , -0.549 , -0.134 , -0.806 , -2.534 , -0.091 , -0.034 , 0.008  , 0.001  , -0.039 , 0.020  
0.58974 ,-4.90272, -6.452 , -0.842 , -0.305 , -0.806 , -2.520 , -0.111 , 0.013  , 0.011  , 0.004  , -0.038 , 0.016  
0.60603 ,-4.90822, -6.474 , -0.964 , -0.525 , -0.820 , -2.520 , -0.089 , 0.001  , 0.014  , 0.007  , -0.036 , 0.020  
0.62018 ,-4.91920, -6.474 , -0.916 , -0.745 , -0.820 , -2.534 , -0.137 , -0.001 , 0.016  , 0.011  , -0.036 , 0.019  
0.63523 ,-4.91920, -6.474 , -0.745 , -0.916 , -0.820 , -2.520 , -0.122 , 0.003  , 0.018  , 0.015  , -0.033 , 0.021  
0.65023 ,-4.91371, -6.474 , -0.549 , -0.989 , -0.806 , -2.520 , -0.098 , 0.043  , 0.019  , 0.018  , -0.035 , 0.019  
0.66521 ,-4.91920, -6.474 , -0.525 , -0.867 , -0.820 , -2.534 , -0.147 , 0.016  , 0.019  , 0.021  , -0.035 , 0.023  
0.68018 ,-4.91371, -6.468 , -0.500 , -0.623 , -0.820 , -2.534 , -0.152 , 0.043  , 0.019  , 0.023  , -0.032 , 0.022  
0.69475 ,-4.91371, -6.452 , -0.500 , -0.427 , -0.820 , -2.534 , -0.146 , 0.041  , 0.018  , 0.023  , -0.033 , 0.029  
0.70998 ,-4.88624, -6.452 , -0.427 , -0.183 , -0.806 , -2.520 , -0.141 , 0.014  , 0.018  , 0.023  , -0.038 , 0.032  
0.72499 ,-4.85878, -6.452 , -0.208 , -0.110 , -0.820 , -2.534 , -0.176 , 0.002  , 0.017  , 0.021  , -0.040 , 0.030  
0.74012 ,-4.85328, -6.468 , -0.037 , -0.134 , -0.806 , -2.520 , -0.170 , 0.043  , 0.015  , 0.020  , -0.042 , 0.024  
0.75507 ,-4.85328, -6.468 , -0.012 , -0.134 , -0.806 , -2.534 , -0.129 , 0.022  , 0.013  , 0.019  , -0.046 , 0.024  
0.77000 ,-4.86976, -6.485 , 0.012  , -0.134 , -0.820 , -2.534 , -0.119 , -0.036 , 0.011  , 0.018  , -0.031 , 0.022  
0.78500 ,-4.86976, -6.485 , -0.012 , -0.134 , -0.806 , -2.534 , -0.142 , -0.014 , 0.010  , 0.017  , -0.026 , 0.028  
0.80014 ,-4.86976, -6.479 , -0.012 , -0.037 , -0.806 , -2.534 , -0.149 , 0.014  , 0.008  , 0.016  , -0.027 , 0.027  
0.81509 ,-4.88624, -6.479 , 0.061  , -0.012 , -0.820 , -2.534 , -0.165 , 0.007  , 0.007  , 0.014  , -0.033 , 0.026  
0.83011 ,-4.88624, -6.490 , 0.085  , -0.110 , -0.820 , -2.520 , -0.167 , 0.025  , 0.005  , 0.013  , -0.039 , 0.024  
0.84496 ,-4.88624, -6.507 , 0.085  , -0.159 , -0.820 , -2.534 , -0.146 , 0.045  , 0.004  , 0.013  , -0.037 , 0.027  
0.86005 ,-4.88624, -6.507 , 0.061  , -0.256 , -0.820 , -2.534 , -0.147 , -0.004 , 0.003  , 0.012  , -0.034 , 0.023  
0.87513 ,-4.89723, -6.507 , 0.085  , -0.330 , -0.820 , -2.534 , -0.120 , 0.023  , 0.002  , 0.012  , -0.042 , 0.025  
0.88924 ,-4.89723, -6.545 , 0.134  , -0.281 , -0.806 , -2.520 , -0.109 , 0.040  , 0.001  , 0.012  , -0.042 , 0.028  
0.90517 ,-4.93568, -6.551 , -0.085 , -0.256 , -0.806 , -2.534 , -0.074 , 0.043  , 0.001  , 0.012  , -0.046 , 0.030  
0.92013 ,-4.96864, -6.556 , -0.427 , -0.256 , -0.806 , -2.534 , -0.095 , 0.043  , 0.001  , 0.011  , -0.044 , 0.035  
0.93507 ,-4.96864, -6.556 , -0.818 , -0.256 , -0.820 , -2.520 , -0.117 , 0.037  , 0.003  , 0.011  , -0.048 , 0.027  
0.95002 ,-4.97963, -6.606 , -1.233 , -0.305 , -0.820 , -2.520 , -0.118 , 0.014  , 0.006  , 0.011  , -0.048 , 0.024  
0.96496 ,-4.97963, -6.606 , -1.209 , -0.500 , -0.820 , -2.534 , -0.102 , 0.059  , 0.010  , 0.011  , -0.049 , 0.027  
0.98016 ,-4.97414, -6.639 , -1.111 , -0.696 , -0.820 , -2.520 , -0.073 , 0.002  , 0.013  , 0.012  , -0.041 , 0.031  
0.99525 ,-4.97963, -6.661 , -1.111 , -0.842 , -0.806 , -2.520 , -0.065 , 0.022  , 0.015  , 0.013  , -0.047 , 0.030  
1.00930 ,-4.97963, -6.683 , -1.086 , -0.964 , -0.806 , -2.534 , -0.040 , 0.044  , 0.016  , 0.015  , -0.042 , 0.027  
1.03127 ,-4.97963, -6.710 , -1.209 , -1.013 , -0.806 , -2.534 , -0.021 , -0.025 , 0.018  , 0.016  , -0.034 , 0.020  
1.05216 ,-4.97963, -6.737 , -1.038 , -1.086 , -0.806 , -2.534 , -0.046 , 0.033  , 0.019  , 0.018  , -0.042 , 0.022  
