t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-0.00000, -0.000 , 0.044  , -0.089 , 0.000  , 0.000  , -0.044 , 0.089  , -0.000 , 0.000  , -0.001 , 0.001  
0.01422 ,0.01464 , 0.044  , -0.275 , 0.058  , -0.015 , -0.044 , 0.275  , -0.058 , 0.000  , 0.000  , -0.005 , 0.003  
0.02627 ,-0.00000, 0.059  , -0.260 , 0.080  , 0.000  , -0.059 , 0.260  , -0.080 , 0.001  , -0.000 , -0.000 , 0.005  
0.03807 ,-0.00000, 0.059  , -0.227 , 0.071  , 0.000  , -0.059 , 0.227  , -0.071 , 0.002  , -0.000 , 0.001  , 0.007  
0.04990 ,0.01464 , 0.059  , -0.192 , 0.066  , -0.015 , -0.059 , 0.192  , -0.066 , 0.003  , -0.001 , 0.001  , 0.003  
0.06164 ,-0.00000, 0.059  , -0.149 , 0.089  , 0.000  , -0.059 , 0.149  , -0.089 , 0.003  , -0.001 , 0.004  , 0.007  
0.07447 ,-0.00000, 0.059  , -0.144 , 0.101  , 0.000  , -0.059 , 0.144  , -0.101 , 0.003  , -0.001 , 0.007  , 0.005  
0.08745 ,0.01464 , 0.059  , -0.156 , 0.107  , -0.015 , -0.059 , 0.156  , -0.107 , 0.003  , -0.001 , 0.005  , 0.005  
0.09957 ,0.01464 , 0.073  , -0.131 , 0.121  , -0.015 , -0.073 , 0.131  , -0.121 , 0.003  , -0.001 , 0.004  , 0.003  
0.11158 ,-0.00000, 0.059  , -0.100 , 0.117  , 0.000  , -0.059 , 0.100  , -0.117 , 0.003  , -0.002 , 0.004  , -0.001 
0.12358 ,0.01464 , 0.059  , -0.060 , 0.113  , -0.015 , -0.059 , 0.060  , -0.113 , 0.003  , -0.002 , 0.004  , 0.002  
0.13645 ,-0.00000, 0.059  , -0.058 , 0.119  , 0.000  , -0.059 , 0.058  , -0.119 , 0.002  , -0.002 , 0.006  , 0.006  
0.14935 ,0.01464 , 0.059  , -0.043 , 0.140  , -0.015 , -0.059 , 0.043  , -0.140 , 0.002  , -0.002 , 0.008  , 0.008  
0.16118 ,0.01464 , 0.059  , -0.037 , 0.142  , -0.015 , -0.059 , 0.037  , -0.142 , 0.002  , -0.002 , 0.004  , 0.011  
0.17302 ,-0.00000, 0.059  , -0.050 , 0.123  , 0.000  , -0.059 , 0.050  , -0.123 , 0.002  , -0.002 , 0.000  , 0.001  
0.18460 ,-0.00000, 0.059  , -0.051 , 0.123  , 0.000  , -0.059 , 0.051  , -0.123 , 0.001  , -0.002 , 0.001  , 0.003  
0.19738 ,0.01464 , 0.059  , -0.022 , 0.084  , -0.015 , -0.059 , 0.022  , -0.084 , 0.001  , -0.002 , 0.001  , 0.003  
0.20907 ,0.01464 , 0.059  , 0.056  , 0.093  , -0.015 , -0.059 , -0.056 , -0.093 , 0.001  , -0.002 , 0.001  , -0.003 
0.22079 ,0.02929 , 0.059  , 0.111  , 0.085  , -0.029 , -0.059 , -0.111 , -0.085 , 0.000  , -0.002 , -0.000 , 0.003  
0.23256 ,0.02929 , 0.059  , 0.262  , 0.093  , -0.029 , -0.059 , -0.262 , -0.093 , -0.001 , -0.002 , -0.000 , 0.007  
0.24535 ,0.05859 , 0.059  , 0.411  , 0.085  , -0.059 , -0.059 , -0.411 , -0.085 , -0.002 , -0.002 , 0.000  , 0.002  
0.25710 ,0.07323 , 0.059  , 0.521  , 0.078  , -0.073 , -0.059 , -0.521 , -0.078 , -0.004 , -0.002 , 0.001  , -0.000 
0.26884 ,0.07323 , 0.059  , 0.531  , 0.039  , -0.073 , -0.059 , -0.531 , -0.039 , -0.005 , -0.002 , 0.003  , 0.005  
0.28055 ,0.07323 , 0.059  , 0.488  , 0.034  , -0.073 , -0.059 , -0.488 , -0.034 , -0.007 , -0.001 , 0.002  , 0.005  
0.29332 ,0.07323 , 0.059  , 0.452  , 0.006  , -0.073 , -0.059 , -0.452 , -0.006 , -0.008 , -0.001 , 0.005  , 0.004  
0.30500 ,0.07323 , 0.059  , 0.400  , 0.011  , -0.073 , -0.059 , -0.400 , -0.011 , -0.008 , -0.001 , 0.000  , 0.007  
0.31669 ,0.07323 , 0.044  , 0.348  , 0.018  , -0.073 , -0.044 , -0.348 , -0.018 , -0.008 , -0.000 , 0.002  , 0.006  
0.32943 ,0.07323 , 0.059  , 0.318  , -0.002 , -0.073 , -0.059 , -0.318 , 0.002  , -0.008 , -0.000 , 0.001  , 0.008  
0.34113 ,0.07323 , 0.073  , 0.272  , 0.015  , -0.073 , -0.073 , -0.272 , -0.015 , -0.008 , 0.000  , 0.003  , 0.016  
0.35295 ,0.07323 , 0.073  , 0.232  , 0.012  , -0.073 , -0.073 , -0.232 , -0.012 , -0.008 , 0.000  , 0.006  , 0.013  
0.36481 ,0.07323 , 0.059  , 0.193  , 0.002  , -0.073 , -0.059 , -0.193 , -0.002 , -0.007 , 0.000  , 0.003  , 0.013  
0.37656 ,0.07323 , 0.059  , 0.195  , -0.018 , -0.073 , -0.059 , -0.195 , 0.018  , -0.007 , 0.001  , 0.005  , 0.012  
0.38944 ,0.07323 , 0.059  , 0.159  , -0.000 , -0.073 , -0.059 , -0.159 , 0.000  , -0.006 , 0.001  , 0.002  , 0.014  
0.40119 ,0.07323 , 0.059  , 0.143  , -0.004 , -0.073 , -0.059 , -0.143 , 0.004  , -0.006 , 0.001  , 0.000  , 0.006  
0.41290 ,0.07323 , 0.059  , 0.165  , -0.025 , -0.073 , -0.059 , -0.165 , 0.025  , -0.005 , 0.001  , -0.002 , 0.007  
0.42459 ,0.07323 , 0.059  , 0.141  , -0.011 , -0.073 , -0.059 , -0.141 , 0.011  , -0.005 , 0.001  , 0.001  , 0.004  
0.43734 ,0.07323 , 0.059  , 0.098  , -0.021 , -0.073 , -0.059 , -0.098 , 0.021  , -0.004 , 0.001  , -0.002 , 0.004  
0.44907 ,0.07323 , 0.044  , 0.070  , -0.028 , -0.073 , -0.044 , -0.070 , 0.028  , -0.003 , 0.001  , 0.002  , 0.005  
0.46077 ,0.07323 , 0.059  , 0.048  , 0.001  , -0.073 , -0.059 , -0.048 , -0.001 , -0.003 , 0.001  , 0.002  , 0.002  
0.47258 ,0.07323 , 0.059  , 0.047  , 0.015  , -0.073 , -0.059 , -0.047 , -0.015 , -0.002 , 0.001  , 0.005  , 0.002  
0.48552 ,0.07323 , 0.059  , 0.040  , -0.018 , -0.073 , -0.059 , -0.040 , 0.018  , -0.001 , 0.001  , 0.004  , 0.001  
0.49727 ,0.07323 , 0.059  , 0.025  , 0.030  , -0.073 , -0.059 , -0.025 , -0.030 , -0.001 , 0.001  , 0.004  , 0.005  
0.50897 ,0.07323 , 0.059  , 0.010  , 0.046  , -0.073 , -0.059 , -0.010 , -0.046 , -0.000 , 0.001  , 0.004  , 0.005  
0.52071 ,0.05859 , 0.059  , -0.057 , 0.075  , -0.059 , -0.059 , 0.057  , -0.075 , 0.000  , 0.001  , 0.002  , 0.008  
0.53347 ,0.04394 , 0.059  , -0.225 , 0.047  , -0.044 , -0.059 , 0.225  , -0.047 , 0.001  , 0.001  , 0.002  , 0.004  
0.54541 ,0.01464 , 0.044  , -0.475 , 0.018  , -0.015 , -0.044 , 0.475  , -0.018 , 0.003  , 0.000  , 0.004  , 0.005  
0.56573 ,-0.00000, 0.059  , -0.510 , 0.063  , 0.000  , -0.059 , 0.510  , -0.063 , 0.005  , 0.000  , 0.003  , 0.008  
0.58502 ,-0.00000, 0.059  , -0.445 , 0.063  , 0.000  , -0.059 , 0.445  , -0.063 , 0.006  , 0.000  , 0.004  , 0.014  
0.60308 ,-0.00000, 0.059  , -0.363 , 0.072  , 0.000  , -0.059 , 0.363  , -0.072 , 0.007  , 0.000  , 0.006  , 0.011  
