t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00001 ,-0.00000, -0.000 , 0.016  , 10.675 , 0.000  , 0.000  , -0.016 ,-10.675 , -0.000 , -0.021 , -0.002 , 0.004  
0.01290 ,3.23730 , 1.274  , 11.905 , 0.127  , -3.237 , -1.274 ,-11.905 , -0.127 , -0.023 , -0.038 , 0.016  , 0.001  
0.02409 ,3.32519 , 1.274  , 11.630 , 0.111  , -3.325 , -1.274 ,-11.630 , -0.111 , -0.065 , -0.033 , 0.000  , 0.001  
0.03547 ,3.39844 , 1.274  , 11.209 , 0.093  , -3.398 , -1.274 ,-11.209 , -0.093 , -0.099 , -0.028 , -0.014 , 0.005  
0.04823 ,3.47168 , 1.274  , 10.506 , 0.055  , -3.472 , -1.274 ,-10.506 , -0.055 , -0.125 , -0.023 , -0.013 , -0.001 
0.06125 ,3.53027 , 1.274  , 9.804  , 0.058  , -3.530 , -1.274 , -9.804 , -0.058 , -0.144 , -0.019 , -0.005 , 0.003  
0.07498 ,3.53027 , 1.274  , 8.712  , 0.060  , -3.530 , -1.274 , -8.712 , -0.060 , -0.157 , -0.016 , 0.006  , 0.003  
0.08882 ,3.53027 , 1.274  , 7.477  , 0.047  , -3.530 , -1.274 , -7.477 , -0.047 , -0.162 , -0.013 , 0.014  , 0.004  
0.10232 ,3.53027 , 1.274  , 6.407  , 0.030  , -3.530 , -1.274 , -6.407 , -0.030 , -0.160 , -0.010 , 0.020  , 0.004  
0.11598 ,3.53027 , 1.274  , 5.558  , 0.037  , -3.530 , -1.274 , -5.558 , -0.037 , -0.155 , -0.008 , 0.024  , 0.005  
0.12843 ,3.53027 , 1.274  , 4.840  , 0.031  , -3.530 , -1.274 , -4.840 , -0.031 , -0.146 , -0.005 , 0.022  , 0.008  
0.14176 ,3.53027 , 1.274  , 4.203  , 0.050  , -3.530 , -1.274 , -4.203 , -0.050 , -0.136 , -0.004 , 0.026  , 0.002  
0.15382 ,3.51562 , 1.274  , 3.681  , 0.045  , -3.516 , -1.274 , -3.681 , -0.045 , -0.124 , -0.002 , 0.023  , 0.002  
0.16500 ,3.51562 , 1.274  , 3.165  , 0.050  , -3.516 , -1.274 , -3.165 , -0.050 , -0.110 , -0.001 , 0.024  , -0.001 
0.18326 ,3.51562 , 1.274  , 2.572  , 0.029  , -3.516 , -1.274 , -2.572 , -0.029 , -0.097 , 0.000  , 0.023  , 0.007  
0.20120 ,3.51562 , 1.274  , 2.122  , 0.021  , -3.516 , -1.274 , -2.122 , -0.021 , -0.082 , 0.001  , 0.023  , 0.007  
0.21903 ,3.51562 , 1.274  , 1.787  , 0.009  , -3.516 , -1.274 , -1.787 , -0.009 , -0.068 , 0.002  , 0.019  , 0.006  
0.23703 ,3.51562 , 1.274  , 1.507  , -0.001 , -3.516 , -1.274 , -1.507 , 0.001  , -0.054 , 0.003  , 0.018  , 0.005  
0.25158 ,3.51562 , 1.274  , 1.333  , -0.025 , -3.516 , -1.274 , -1.333 , 0.025  , -0.041 , 0.004  , 0.024  , 0.006  
0.26472 ,3.50097 , 1.274  , 1.156  , -0.025 , -3.501 , -1.274 , -1.156 , 0.025  , -0.029 , 0.005  , 0.019  , 0.006  
0.27773 ,3.51562 , 1.274  , 0.998  , -0.009 , -3.516 , -1.274 , -0.998 , 0.009  , -0.018 , 0.005  , 0.021  , -0.002 
0.29055 ,3.51562 , 1.274  , 0.902  , -0.035 , -3.516 , -1.274 , -0.902 , 0.035  , -0.008 , 0.006  , 0.023  , -0.002 
0.30374 ,3.50097 , 1.274  , 0.775  , -0.051 , -3.501 , -1.274 , -0.775 , 0.051  , 0.001  , 0.006  , 0.021  , 0.002  
0.31669 ,3.51562 , 1.274  , 0.707  , -0.045 , -3.516 , -1.274 , -0.707 , 0.045  , 0.009  , 0.006  , 0.017  , 0.003  
0.32900 ,3.51562 , 1.274  , 0.638  , -0.061 , -3.516 , -1.274 , -0.638 , 0.061  , 0.016  , 0.007  , 0.016  , 0.000  
0.34278 ,3.51562 , 1.274  , 0.561  , -0.045 , -3.516 , -1.274 , -0.561 , 0.045  , 0.022  , 0.007  , 0.023  , -0.000 
0.35418 ,3.51562 , 1.274  , 0.499  , -0.052 , -3.516 , -1.274 , -0.499 , 0.052  , 0.028  , 0.007  , 0.029  , 0.005  
