t,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel,L_Cmd,R_Cmd,L_tau,R_tau
0.00002 ,-0.00000, -0.000 , 0.071  , -0.209 , 0.000  , 0.000  , -0.071 , 0.209  , -0.000 , 0.000  , -0.028 , -0.006 
0.01868 ,0.01465 , -0.015 , 0.223  , -0.037 , -0.015 , 0.015  , -0.223 , 0.037  , -0.001 , 0.001  , -0.021 , -0.016 
0.03168 ,0.01465 , -0.000 , 0.231  , -0.021 , -0.015 , 0.000  , -0.231 , 0.021  , -0.001 , 0.001  , -0.015 , -0.015 
0.04470 ,0.01465 , -0.000 , 0.223  , -0.007 , -0.015 , 0.000  , -0.223 , 0.007  , -0.002 , 0.001  , -0.012 , -0.014 
0.05768 ,0.01465 , -0.000 , 0.236  , -0.010 , -0.015 , 0.000  , -0.236 , 0.010  , -0.002 , 0.001  , -0.016 , -0.016 
0.07168 ,0.01465 , -0.000 , 0.239  , 0.018  , -0.015 , 0.000  , -0.239 , -0.018 , -0.003 , 0.000  , -0.024 , -0.016 
0.08594 ,-0.00000, -0.000 , 0.199  , 0.014  , 0.000  , 0.000  , -0.199 , -0.014 , -0.003 , 0.000  , -0.022 , -0.020 
0.10070 ,0.01465 , -0.000 , 0.222  , 0.035  , -0.015 , 0.000  , -0.222 , -0.035 , -0.003 , 0.000  , -0.019 , -0.014 
0.11469 ,-0.00000, -0.000 , 0.216  , 0.034  , 0.000  , 0.000  , -0.216 , -0.034 , -0.004 , 0.000  , -0.019 , -0.018 
0.12868 ,0.01465 , -0.000 , 0.254  , 0.013  , -0.015 , 0.000  , -0.254 , -0.013 , -0.004 , -0.000 , -0.016 , -0.022 
0.14269 ,0.01465 , -0.015 , 0.214  , 0.005  , -0.015 , 0.015  , -0.214 , -0.005 , -0.004 , -0.000 , -0.018 , -0.021 
0.15772 ,-0.00000, -0.000 , 0.194  , 0.020  , 0.000  , 0.000  , -0.194 , -0.020 , -0.004 , -0.000 , -0.020 , -0.013 
0.17070 ,0.01465 , -0.000 , 0.209  , 0.031  , -0.015 , 0.000  , -0.209 , -0.031 , -0.004 , -0.000 , -0.019 , -0.007 
0.18469 ,0.01465 , -0.000 , 0.242  , 0.019  , -0.015 , 0.000  , -0.242 , -0.019 , -0.004 , -0.000 , -0.020 , -0.008 
